gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000168062,4.424137691377895,4.822153955044751,21.593104626438322,4.1464657628882464e-47,7.875797070029935e-43,96.55448109800493
ENSG00000149131,4.267136880145669,6.27415462933238,20.580977001998992,7.918992889854458e-45,7.520667547494778e-41,91.45539569032968
ENSG00000156587,2.074048051672314,8.123667619325666,20.476063975918105,1.3750669388770487e-44,8.706007145676888e-41,90.92035780313782
ENSG00000150337,3.6032930831402963,6.035458663476251,20.303176045384646,3.4242989714312494e-44,1.6260283665841287e-40,90.01363318945717
ENSG00000134243,1.551008756456742,5.816440274531052,19.497090587543408,2.5332922940388247e-42,8.534970223392851e-39,85.7679534491087
ENSG00000152229,2.0099117746928554,5.551464403896043,19.48553548869724,2.696105156383969e-42,8.534970223392851e-39,85.70000822116769
ENSG00000154451,2.9255625307509714,7.956276773854761,19.385579243931524,4.6243078343937226e-42,1.254772900092491e-38,85.15959888667291
ENSG00000100342,2.1912185331936858,6.538605089333261,19.34593728254346,5.729581931581447e-42,1.3603459901057252e-38,84.95915114566475
ENSG00000116663,2.0439600998249663,4.925919352262004,19.000323074577057,3.742902490034174e-41,7.8991877661899e-38,83.07804018238262
ENSG00000168394,1.5352853724153803,9.223244798078928,18.718759240483895,1.74584803018727e-40,3.3160637485377005e-37,81.552961322992
ENSG00000119655,1.422322001036088,7.533719132145518,18.67239317176505,2.2518937242739184e-40,3.8884063089871645e-37,81.31760469857545
ENSG00000145685,2.2541297713242963,3.675566049342286,18.54890695582528,4.441324403480497e-40,6.814587740185922e-37,80.53197002096212
ENSG00000140105,2.2441522521995436,8.286356810811753,18.54002215810681,4.664085533453563e-40,6.814587740185922e-37,80.58820499534198
ENSG00000100911,1.4906181984906492,7.795295249326128,18.51539240005492,5.342041384771095e-40,7.247623861595871e-37,80.459278968624
ENSG00000162654,2.2101440828682186,6.071093862374333,18.37548641025479,1.1564434953759143e-39,1.4643658500780077e-36,79.69607632029945
ENSG00000120217,3.292811336224599,4.063148095910276,18.270276081508342,2.070353381499984e-39,2.4577682580131686e-36,79.04236735441955
ENSG00000162645,1.6979021286794787,9.06513700543579,18.24293867100247,2.409117341215902e-39,2.6916926340620495e-36,78.95469837228723
ENSG00000128203,1.75362777817476,3.7789186320097174,17.96860865012461,1.1078228832416526e-38,1.168999324682886e-35,77.37951589659264
ENSG00000119522,1.184730752938493,6.224368156922656,17.654724613531805,6.418509323797574e-38,6.416482426116375e-35,75.71438165244948
ENSG00000198019,2.6752305788636175,4.860944267410601,17.599323972256514,8.762450908112742e-38,8.321699627434672e-35,75.38932522308913
ENSG00000221963,1.7277199755433283,6.423098151646021,17.50584555557546,1.4828344469763894e-37,1.3411884517080733e-34,74.88286942766035
ENSG00000128335,1.5846624413255226,7.817486261287996,17.36172114166449,3.3435958833092536e-37,2.886739100344362e-34,74.07336216075801
ENSG00000125347,1.3251800851070268,9.681388560716774,17.29052811683348,5.000722726222429e-37,4.1297272809508175e-34,73.66433982869745
ENSG00000135148,1.223089282434298,7.2222232043249,17.28076192125114,5.284868813376906e-37,4.182533260053373e-34,73.62112008880973
ENSG00000130489,2.515713818867636,7.036561033614383,17.269594378970396,5.629702967340329e-37,4.277223126466488e-34,73.5575898392049
ENSG00000108861,1.4758726112727345,5.407981512753136,17.19524219225322,8.57852071982793e-37,6.266939328938912e-34,73.13859919070507
