gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000234444,-1.201226383878743,1.833750173391623,-7.490057164048567,6.238926996215228e-12,5.817485486799806e-11,16.754235504700432
ENSG00000085733,0.9744840319857889,5.1988632683248985,7.48987343791074,6.245222521558982e-12,5.820498359886718e-11,16.41399173724279
ENSG00000140006,-0.6936440735459404,2.685151440002198,-7.489298058097951,6.2649790974274704e-12,5.836047718319637e-11,16.6882064588872
ENSG00000133226,-0.5681954039587136,5.375908106518686,-7.4891799481348835,6.269042237876646e-12,5.836970013050441e-11,16.425016710679138
ENSG00000166860,-0.7849758791917328,2.0815977169217486,-7.486078781972092,6.376665060997382e-12,5.934266348289283e-11,16.714500839491087
ENSG00000167676,1.1624816002523661,5.389943465075468,7.483849958873533,6.455141889729963e-12,6.004356760701808e-11,16.373279947087514
ENSG00000115896,-1.5039831636737777,0.3557603879543241,-7.482819181693695,6.491758164297305e-12,6.035460331505776e-11,16.65340221751546
ENSG00000132906,0.3835292353876198,4.521913804205246,7.4811618570897425,6.55106283408751e-12,6.087616803848247e-11,16.415408664954185
ENSG00000140718,-0.5715365039065428,3.2069882993109236,-7.480854915308141,6.562104966308306e-12,6.094895928120293e-11,16.580181132238657
ENSG00000165861,0.30509827954854746,5.185411445441908,7.480396563477821,6.578628337437807e-12,6.107256434080827e-11,16.368661497971978
ENSG00000169704,1.287319904173526,5.453420482077408,7.479349686947371,6.616522388285477e-12,6.139434599076423e-11,16.34823021712344
ENSG00000204525,0.8345821173340738,12.15178197901957,7.47706003652123,6.700156237734725e-12,6.214002323219403e-11,16.438974644250617
ENSG00000175573,0.512716374901273,6.513732814366089,7.476276740526096,6.729007199811678e-12,6.237714141201709e-11,16.314232044688687
ENSG00000074696,-0.69148154998393,3.034262116062774,-7.47403856125002,6.812125086911031e-12,6.311683117111616e-11,16.568975412119485
ENSG00000131844,-0.5873310722174147,3.7069872128619994,-7.47179411202937,6.896496385148504e-12,6.386740728401301e-11,16.48072962502004
ENSG00000246016,1.312243839562282,-0.2818662773834878,7.470998307407646,6.926659302005989e-12,6.411548088806128e-11,16.60421072360213
ENSG00000173171,0.6115276331657608,4.935572414782242,7.4704670763353125,6.946866893291494e-12,6.426247055599595e-11,16.325684133319875
ENSG00000138119,1.171365518846791,3.9280340341773097,7.470403063945916,6.949305808256064e-12,6.426247055599595e-11,16.376168804625227
ENSG00000234436,1.5012045038188264,0.036201849037129454,7.470244613112718,6.955346537911603e-12,6.428703267206473e-11,16.64275158891519
ENSG00000167074,-0.7448418523801987,2.9780727986946363,-7.469411995399817,6.98717452184797e-12,6.454980197858966e-11,16.56729005707665
ENSG00000092200,-1.0387883134925158,2.900249866193916,-7.4684649247653825,7.02355293500988e-12,6.48543337129692e-11,16.565012617135373
ENSG00000030066,-1.0452123449529087,3.2116319421923505,-7.467898055579973,7.0454168726214865e-12,6.502461033944243e-11,16.526360113604287
ENSG00000103091,-0.3605751586293894,5.027727756801325,-7.466923180021855,7.0831751512595866e-12,6.534134474163409e-11,16.327879642675846
ENSG00000213551,-0.4104101777219287,3.9181592609954765,-7.464250342821612,7.187728450604713e-12,6.627364766543006e-11,16.413384052215743
ENSG00000144843,0.518636426525639,3.5549730276639004,7.463771585057292,7.206616682972371e-12,6.641556393807726e-11,16.401408791226118
ENSG00000131797,-0.814822866479358,4.356804827400593,-7.461461366314278,7.298453658199364e-12,6.722930590874816e-11,16.385465667492895
ENSG00000196329,-0.9822208740129517,3.073070306886305,-7.4576117764437155,7.454064963842027e-12,6.862942798023048e-11,16.485879348803056
ENSG00000197063,0.4476233705689587,4.69360741160976,7.4552698056262745,7.550336196732781e-12,6.948211517477831e-11,16.262627801408435
ENSG00000166483,-1.2907639225734215,1.1461446256039067,-7.455124146717862,7.556364278416413e-12,6.950391433619435e-11,16.566337289710326
ENSG00000168806,-0.7389334577132999,2.1731135305190987,-7.454239386316034,7.593082505832078e-12,6.980784565139134e-11,16.541947240186126
ENSG00000204104,-0.7345368699687933,1.1174412501196074,-7.453996083159455,7.603210697224423e-12,6.986714271073085e-11,16.56799496956727
ENSG00000166887,0.23240985910927742,6.908824978596685,7.453674941322903,7.616599624706273e-12,6.995633136927995e-11,16.195389571991836
ENSG00000257342,0.758888196645756,1.70098450467297,7.451442256953048,7.710331260935307e-12,7.078300240222582e-11,16.531784562824075
ENSG00000131149,-0.5896724624068476,5.282680878571927,-7.450516784057116,7.749518001103495e-12,7.108863583484976e-11,16.224294531799373
ENSG00000179335,0.30892492234498975,7.145490990421342,7.450479306798654,7.751109024637983e-12,7.108863583484976e-11,16.180844838628616
ENSG00000275835,-0.8413098864144932,2.109449984634094,-7.450346022567516,7.75676996560442e-12,7.109218634748394e-11,16.5308003766984
ENSG00000102230,1.2828808584218494,1.5697384219525097,7.450293969646468,7.758981904724345e-12,7.109218634748394e-11,16.523550142968276
ENSG00000119535,0.7078479842477094,12.476331284759175,7.448772709399378,7.82390290061152e-12,7.162422274835957e-11,16.288468708318636
ENSG00000279727,0.9108257910311878,0.4781582621724136,7.448756676181984,7.824589986461309e-12,7.162422274835957e-11,16.539140932815744
ENSG00000132199,-0.922400263123594,3.4411237215211252,-7.442521171591033,8.09638504994775e-12,7.407646321710385e-11,16.37445924260255
ENSG00000130529,1.039498418724535,1.8158819672015947,7.442173599806304,8.111807098946068e-12,7.418183150572057e-11,16.450383022265488
ENSG00000171365,0.4931673177236352,2.662791669132766,7.441895667621681,8.124160100423632e-12,7.425904569174516e-11,16.38041835483424
ENSG00000111729,0.5978404633344228,5.172127322108947,7.440069385859731,8.20579565411299e-12,7.496504184539075e-11,16.141722598176035
ENSG00000237765,0.6246931750358906,4.285844252466734,7.439991576839209,8.209291725724585e-12,7.496504184539075e-11,16.196666652176674
ENSG00000260188,1.275263024086497,-0.6653067326243268,7.43900002515397,8.25397289317567e-12,7.533683860306518e-11,16.395101172378304
ENSG00000172175,-0.589980312282656,4.277612407962292,-7.436124097176414,8.384933701264642e-12,7.649540380490903e-11,16.226303699824342
ENSG00000100941,-0.4663833409260524,5.712017204675857,-7.435669857764808,8.405805585888992e-12,7.664900206355041e-11,16.119319075637577
ENSG00000111669,0.48122524523803634,8.380993194559231,7.43428613051238,8.46970403794089e-12,7.71946058045342e-11,16.11650075201255
