gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000143793,-0.3061514053301222,4.155083561793878,-2.8806726388546244,0.0045720667741100535,0.043464382536259435,-2.3442430810947483
ENSG00000123612,1.2800843235566606,-2.7013929596828983,2.88042095366205,0.004575517505625893,0.04347542746466143,-2.2648165194632632
ENSG00000118855,0.4718124493638287,5.584247209947047,2.8799171616283337,0.004582431910624569,0.04351935585520154,-2.4347784549114486
ENSG00000109861,0.3447664435627864,6.718387925790991,2.8795581122899656,0.0045873655966685856,0.04354443885213549,-2.430997428250707
ENSG00000124788,0.37634157988206685,5.259127170730164,2.87871793197139,0.0045989294893995876,0.04363240095986802,-2.4307310478117183
ENSG00000197860,0.5433395510722656,2.480057739231148,2.878408643622702,0.00460319311816216,0.04365104847048031,-2.240494838861568
ENSG00000076685,0.3896901188417674,6.508839291807528,2.8781449414606195,0.00460683118438757,0.04366374826160554,-2.438374784943822
ENSG00000145743,0.5567224399850046,1.8229894264148194,2.8771170754170114,0.004621036872685502,0.0437129124344789,-2.1988622800402062
ENSG00000151422,0.44079633999369894,1.1167533521594886,2.8770864875339557,0.004621460227912661,0.0437129124344789,-2.122968796258706
ENSG00000185650,0.49934331885171357,7.8175685340263295,2.8770150268861387,0.004622449425792334,0.0437129124344789,-2.416844741851011
ENSG00000262049,-0.45315385218381765,2.5343816335187617,-2.87700478990245,0.004622591147654647,0.0437129124344789,-2.1758614900948166
ENSG00000106290,-0.24737802871202064,5.591371073970697,-2.8769373147085053,0.004623525380692224,0.0437129124344789,-2.437480385828845
ENSG00000198898,0.6173721639609626,5.631168933586519,2.876292743537782,0.004632458551942546,0.0437570402198416,-2.4446776688793674
ENSG00000055147,0.47493125405488357,2.632969997633427,2.876144347169822,0.004634517425855953,0.0437570402198416,-2.262044755542865
ENSG00000100201,0.35089291166167946,8.91142099239025,2.876102081735545,0.004635103976114631,0.0437570402198416,-2.3986821151739046
ENSG00000126945,0.6513708713945299,5.297641375788873,2.8755156166715996,0.004643249819727952,0.043812164468908454,-2.444295927754487
ENSG00000261799,0.7151613245812141,1.9659394806738144,2.874395617506512,0.004658842709102829,0.04393746693977117,-2.2281574185642175
ENSG00000182108,-0.39763655564693234,4.170356988855771,-2.8737021916998744,0.0046685207396957844,0.04400688979145495,-2.364867403607353
ENSG00000167315,-0.349196301694759,4.642240801296871,-2.8734134732046694,0.0046725557566332536,0.04402307740153374,-2.3960374823690187
ENSG00000146701,-0.2617183863989352,6.4699063150215546,-2.8729391293478588,0.004679191927784433,0.04406317491854216,-2.4556455837394773
ENSG00000105401,-0.30707467897520146,7.755244396553671,-2.8727777693887475,0.004681451352301679,0.04406317491854216,-2.439542427224709
ENSG00000090273,-0.38202063296930167,6.115171153531238,-2.8717663032050162,0.004695637041551918,0.04417104708311072,-2.4573824191153855
ENSG00000234009,-0.5193444403027807,3.0135644058830477,-2.8714951941666325,0.004699445988443526,0.04417104708311072,-2.2477939666523143
ENSG00000102109,-1.3789537290208609,2.414042022508532,-2.8714636956675084,0.0046998887098539935,0.04417104708311072,-2.13160426727785
ENSG00000137103,-0.39772234115625693,3.098963703288446,-2.8708642277115857,0.004708321697348245,0.04422841855560462,-2.2723184045124616
ENSG00000135838,0.4167965380667864,6.306031040580332,2.870202713605118,0.004717643576699137,0.044294079137826695,-2.4610732317168464
ENSG00000117528,0.5817210293108985,2.312421287678835,2.8699876245823104,0.00472067818806843,0.044299853036582924,-2.267127093682655
ENSG00000049089,-0.6206568074352674,4.509006641531531,-2.8695235915098753,0.004727231140148999,0.044299853036582924,-2.378208525742379
ENSG00000145569,0.43805216044594086,4.1933465630102456,2.8694480563235096,0.0047282986150082645,0.044299853036582924,-2.4085309582423804
ENSG00000163960,0.308166190801912,4.837775337362596,2.8692308470679495,0.004731369478143079,0.044299853036582924,-2.4433473077199417
ENSG00000102001,-0.6363160290559863,0.8140240391758218,-2.8692199176988695,0.004731524043671085,0.044299853036582924,-2.1227126542759343
ENSG00000083520,0.47246165484128344,3.397584702601559,2.8691684208470374,0.004732252385554741,0.044299853036582924,-2.3568040668761316
ENSG00000134243,0.4134046521295147,5.816440274531052,2.8689194138399823,0.0047357756443804095,0.04431099634943916,-2.4627653513019774
ENSG00000135655,0.547007286714587,7.20676421989201,2.868753234857585,0.004738128284489447,0.04431118101210859,-2.45173958095361
ENSG00000125901,-0.28861955880771983,4.245668271071308,-2.868295712527935,0.004744611073304,0.04434997181414182,-2.38664028651685
ENSG00000168538,0.48372614526707647,3.6066717399546997,2.867949142562915,0.004749527138714607,0.0443740868041049,-2.3799976755887484
ENSG00000174749,0.5526299763125926,1.602696820702762,2.8675239219779765,0.004755565220000194,0.044404454200033104,-2.1789499655565345
ENSG00000139921,0.6226577132223854,2.912157063360607,2.8673810569198515,0.004757595461555427,0.044404454200033104,-2.3274710444525097
ENSG00000112144,0.6596992624865274,1.715562235662471,2.86722239528386,0.004759851115630357,0.044404454200033104,-2.224997111657492
ENSG00000135018,0.29408349617678997,5.409455082131059,2.867062258319378,0.004762128735677973,0.044404454200033104,-2.4673553810147384
ENSG00000184508,-0.3310756496555669,3.9509958166793604,-2.866781663730079,0.004766122021681236,0.04441988306173376,-2.357940400442589
ENSG00000089157,-0.37668615776214764,10.18447435130807,-2.864683304147552,0.00479608206156049,0.04466939446452351,-2.409238789481474
ENSG00000171862,0.5223538734087256,7.335610671249721,2.864577491804783,0.004797597383785825,0.04466939446452351,-2.4605026365267815
ENSG00000080815,0.28950644262737946,6.773564859159892,2.8642019944995813,0.004802978356393983,0.044697584959013874,-2.4729653186385057
ENSG00000218227,-0.36461487391255654,3.747142622690898,-2.8636323452494072,0.004811152111966857,0.04471388275740569,-2.3514674765829335
ENSG00000185158,0.31490316917866723,3.330175663721538,2.8633510910511464,0.004815192446405978,0.04471388275740569,-2.34674908704023
ENSG00000131389,0.5236285982320394,7.95288542265018,2.8633304345312873,0.004815489308216779,0.04471388275740569,-2.4510996156400315
ENSG00000167600,-0.8351107392499615,2.7569470777251337,-2.8632317755231216,0.004816907400902305,0.04471388275740569,-2.226954710687151
ENSG00000064225,0.4329765700268764,3.622775858182979,2.8631160154570265,0.004818571785454922,0.04471388275740569,-2.366846282057278
ENSG00000164597,0.3457259130346708,3.447599176818129,2.863096371925656,0.004818854270001551,0.04471388275740569,-2.37057186088648
