gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000168062,4.0239232841329855,4.822153955044751,19.705821165164412,8.246726168385781e-43,1.5663831684231952e-38,86.73107907709858
ENSG00000156587,1.9324740209173425,8.123667619325666,18.59190963056279,3.50511271582508e-40,3.3288055462190786e-36,80.82721592242568
ENSG00000150337,3.3292017043280184,6.035458663476251,18.45764384894849,7.3456501654829096e-40,4.6228104759357865e-36,80.09795084107668
ENSG00000154451,2.8465647993334056,7.956276773854761,18.40545078959543,9.799387109648955e-40,4.6228104759357865e-36,79.81043149910025
ENSG00000162645,1.7504603691438145,9.06513700543579,18.36626879209519,1.216913361044484e-39,4.6228104759357865e-36,79.58322048200057
ENSG00000149131,3.8314838392946964,6.27415462933238,18.29459661315322,1.809369112967311e-39,5.727859488616851e-36,79.20456120748733
ENSG00000100342,2.119911244389465,6.538605089333261,18.258756646278233,2.20684659464286e-39,5.988120602663783e-36,79.02273535235136
ENSG00000152229,1.9245008321599792,5.551464403896043,18.202948276288634,3.0074879010279265e-39,7.140528149015555e-36,78.70915188029093
ENSG00000168394,1.5223187209841313,9.223244798078928,18.108626031216804,5.0790334077473156e-39,1.0719017838528056e-35,78.16967455636045
ENSG00000134243,1.4707887249126923,5.816440274531052,18.035591537318655,7.626351737205903e-39,1.4485492489648894e-35,77.79580423520834
ENSG00000116663,1.9063948660887577,4.925919352262004,17.349614896411826,3.5803327053790326e-37,6.182258127815395e-34,73.96671686328915
ENSG00000125347,1.3475422295735182,9.681388560716774,17.160062671306203,1.047273710519325e-36,1.6576597381336714e-33,72.89782793109265
ENSG00000129667,1.3413011234376349,7.5333243961152405,17.130177787478672,1.2408398564416784e-36,1.8129624794810185e-33,72.75353837861843
ENSG00000120217,3.0818806751893923,4.063148095910276,16.867058646562782,5.547782167933953e-36,7.526755321266964e-33,71.19655169005118
ENSG00000128335,1.5658314759838063,7.817486261287996,16.734101538113535,1.1859497980787059e-35,1.5017286976471293e-32,70.51631854628396
ENSG00000135148,1.2117581740292884,7.2222232043249,16.69500776680983,1.483353051124269e-35,1.760925490815898e-32,70.29889053132861
ENSG00000145685,2.0511911832089265,3.675566049342286,16.67967935023659,1.619450184176304e-35,1.8094021646026302e-32,70.11547502288843
ENSG00000128203,1.6576339562271225,3.7789186320097174,16.590296383852408,2.703306127331029e-35,2.8525886990291975e-32,69.62132710684223
ENSG00000162654,2.0266517956993635,6.071093862374333,16.485265379040676,4.941596977812962e-35,4.940036473504179e-32,69.10674048505128
ENSG00000140464,1.7311831004611298,7.315110768166982,16.415525812509117,7.380787295458643e-35,7.009533694497073e-32,68.70847455756382
ENSG00000119655,1.282408318320038,7.533719132145518,16.399682304005342,8.0856988314363e-35,7.313322076395289e-32,68.61752664801867
ENSG00000119522,1.1267097257755383,6.224368156922656,16.369162064593972,9.639690102378308e-35,8.322557900207891e-32,68.44685524211359
ENSG00000130489,2.431902928541902,7.036561033614383,16.288259274787027,1.5369136550090162e-34,1.2692233897061415e-31,67.98172032751538
ENSG00000198019,2.525050428635722,4.860944267410601,16.272870445056242,1.6796493937577067e-34,1.3293025243764117e-31,67.87892938124214
ENSG00000100911,1.336508123449418,7.795295249326128,16.16865275698157,3.0669596157242363e-34,2.3301532376426456e-31,67.29584536988844
ENSG00000152766,4.449770823339186,2.6692912630266057,16.141884536390194,3.580567571769606e-34,2.615742325315073e-31,66.78875661057222
ENSG00000140105,2.001626784364025,8.286356810811753,16.09859362050017,4.600141057288221e-34,3.2361140460049065e-31,66.89059530964033
ENSG00000108387,3.7503621612001155,2.984498371848239,15.849018986147513,1.957796771219566e-33,1.3280854240194443e-30,65.24383470758579
ENSG00000132109,1.1250277345335542,6.95335655887886,15.824522198927253,2.2576447572062188e-33,1.4786794661508593e-30,65.32144018335936
ENSG00000163568,2.8316540445708793,4.095433915550073,15.811522572525726,2.435051862565418e-33,1.5417125025855849e-30,65.19703591984974
ENSG00000221963,1.5938845223342666,6.423098151646021,15.76074017332935,3.2727757657919024e-33,2.0052613837242386e-30,64.95348754899587
ENSG00000082014,1.8510221216295921,6.1450583384427135,15.736047480746977,3.7791548463110785e-33,2.2431645984635194e-30,64.8105190387955
ENSG00000141574,1.902230378405946,9.387324447795978,15.70299440503801,4.582139827590028e-33,2.637368602583182e-30,64.60897184905028
ENSG00000070501,1.2446290125762287,5.042354325497699,15.616877449884676,7.573457927612796e-33,4.2308899963846306e-30,64.1166379113235
ENSG00000075399,1.7418172147130502,7.0596879619537205,15.580757391642662,9.352318809784027e-33,5.075369813515366e-30,63.91235778621709
ENSG00000079385,2.044141675391617,4.987553544436985,15.4052932497403,2.610955932046091e-32,1.3775693603689847e-29,62.889095847227686
ENSG00000146425,1.3839131968229426,6.717941294779317,15.353998011273374,3.526878946589313e-32,1.8105280732842544e-29,62.59727326622264
ENSG00000240065,1.3410858135588022,8.180853628774761,15.343488635214651,3.751106714296634e-32,1.8749610771407966e-29,62.53407884251521
ENSG00000108861,1.337552834830153,5.407981512753136,15.239245183102279,6.917131741316884e-32,3.368820520373664e-29,61.92869359721345
ENSG00000168404,1.0966226405340045,6.627195519666167,15.214724643276803,7.989222865509525e-32,3.7936824776871985e-29,61.78681824738487
ENSG00000136436,0.8075735339191263,6.833435927664382,14.998495418533485,2.8534585085450656e-31,1.3219168514952433e-28,60.52478665773843
ENSG00000166278,3.051418246296866,1.7564604943345112,14.944077075314453,3.933671477038481e-31,1.7789560960683075e-28,59.778106629968796
ENSG00000025708,1.7004485444095394,9.428269904745934,14.910321480543114,4.801101586639387e-31,2.118131734313446e-28,60.005796963205235
ENSG00000090339,1.309552538067341,6.195401700272692,14.906637232626075,4.9066966573545125e-31,2.118131734313446e-28,59.98741036418127
ENSG00000173372,3.6835161890904993,4.013698165798546,14.894636049932432,5.267081019963658e-31,2.2231763754042163e-28,59.88016509216597
ENSG00000137752,1.2935322119222352,7.926774852097623,14.84155535045627,7.207374022665488e-31,2.9760187431849624e-28,59.60639810239143
ENSG00000117228,2.4127422866106967,6.493928246097078,14.798379392489403,9.303487652734723e-31,3.7597966909796457e-28,59.35340880935902
ENSG00000183621,1.5372014892213626,4.933628992553979,14.789971117006788,9.777884129878893e-31,3.8691902325608266e-28,59.302608108884414
ENSG00000173369,4.366964206410204,3.0768852401189224,14.765439227468109,1.130516939628011e-30,4.382252806386622e-28,59.01124027912957
ENSG00000099860,1.1945910631552943,6.693699316117913,14.74652422077087,1.2644228771860546e-30,4.803289625854385e-28,59.048919053146
ENSG00000136514,2.229550123744796,4.023646313613976,14.737426416883856,1.3343819048866843e-30,4.969656843415232e-28,58.9767461199417
